median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
453,Aryna Sabalenka,1,1,6.7%,6.6%,60.8%,69.4%,47.7%,20.0%,19.1%,11.0%,6.9%,106.6,110.6,104.7,90.8,96.2,92.8,6.0%,60.7%,6.0%,59.7%,44.2%,45.7%,50.9%,33.9%,50.7%,53.7%,42.3%,55.1%,20.5%,33.5%,46.5%,76,69.1%,56.6%,2.51,19.2%,8.1%,3.2,51.7%,55.2%,52.3%,55.8%,50.4%,11.2%,12.2,7.9,0.6%,64.4%,8.5%,71.7%,22.4%,30.8%,26.9%,17.0%,37.3%,1.4%,40.4%,123,114
314,Iga Swiatek,2,1,3.5%,3.4%,63.1%,67.9%,52.8%,17.1%,17.9%,9.2%,6.0%,101.4,103.3,96.5,81.1,82.0,80.9,3.6%,62.5%,3.0%,62.2%,47.6%,49.4%,52.9%,28.1%,40.6%,55.4%,10.8%,54.9%,18.1%,26.5%,48.6%,7,72.5%,59.3%,2.46,9.8%,8.5%,3.9,54.1%,55.7%,57.9%,59.4%,50.8%,4.8%,10.8,8.6,0.1%,70.6%,6.6%,74.8%,18.3%,27.7%,22.2%,13.0%,29.3%,0.6%,33.5%,51,45
118,Jessica Pegula,3,3,3.7%,3.7%,59.9%,65.9%,49.5%,13.5%,16.6%,6.6%,4.7%,99.2,101.6,92.4,81.1,83.2,79.8,3.8%,57.8%,2.3%,55.8%,44.1%,45.4%,47.1%,27.4%,38.0%,51.9%,15.0%,35.7%,18.1%,22.0%,40.1%,9,70.4%,54.7%,2.55,13.1%,14.2%,4.0,51.1%,50.2%,51.1%,49.3%,49.5%,16.8%,7.1,5.7,0.0%,50.0%,7.7%,64.2%,13.6%,23.4%,14.8%,10.1%,26.5%,1.5%,32.5%,-15,-6
142,Coco Gauff,4,2,5.7%,7.6%,60.8%,68.6%,45.0%,14.0%,19.0%,6.1%,5.0%,105.3,109.6,99.5,86.3,86.1,87.8,5.5%,59.1%,4.9%,58.6%,43.3%,45.4%,50.1%,31.7%,43.2%,53.6%,29.2%,20.6%,20.1%,25.3%,44.2%,67,75.6%,52.5%,2.43,15.8%,6.5%,4.2,51.8%,51.4%,50.5%,51.7%,56.5%,7.9%,2.2,6.3,0.4%,60.6%,8.9%,67.7%,9.7%,14.6%,9.8%,12.0%,27.5%,1.1%,33.4%,-17,11
118,Madison Keys,5,5,7.2%,3.4%,63.5%,68.5%,48.3%,19.6%,21.3%,10.2%,4.6%,104.1,107.4,99.1,80.3,82.0,83.1,7.1%,61.5%,6.3%,61.9%,43.1%,43.8%,46.7%,35.0%,47.8%,49.8%,34.6%,61.1%,17.3%,26.2%,41.9%,-4,68.3%,54.8%,2.41,16.9%,8.2%,3.5,51.3%,50.1%,49.2%,52.2%,51.7%,10.1%,8.5,-00,0.1%,60.0%,7.2%,66.8%,18.5%,30.8%,22.7%,11.4%,26.3%,0.8%,30.1%,106,94
75,Jasmine Paolini,6,4,1.5%,2.9%,67.1%,60.3%,47.1%,13.3%,17.5%,8.2%,4.1%,96.4,100.1,93.5,79.6,81.6,81.8,1.2%,54.8%,0.9%,54.4%,45.3%,45.4%,47.7%,21.5%,31.8%,50.4%,17.6%,52.6%,16.3%,20.8%,42.0%,-8,74.1%,53.7%,2.53,8.4%,11.6%,4.2,49.2%,50.0%,55.0%,50.2%,53.7%,7.1%,6.4,3.6,0.3%,71.4%,8.0%,70.2%,14.5%,22.1%,8.9%,9.0%,28.1%,0.9%,35.2%,6,-3
56,Mirra Andreeva,7,6,4.3%,3.9%,62.9%,65.3%,49.2%,15.7%,18.4%,7.2%,7.1%,101.4,105.3,92.7,81.0,80.6,84.1,5.5%,58.0%,3.2%,57.3%,46.7%,44.3%,49.2%,25.9%,35.5%,51.9%,11.6%,41.8%,15.7%,20.9%,45.1%,24,77.1%,54.0%,2.48,14.3%,8.8%,4.6,52.1%,51.1%,50.8%,52.7%,48.6%,9.3%,5.2,4.7,0.0%,100.0%,7.0%,65.4%,10.7%,13.9%,13.9%,10.6%,24.4%,1.9%,44.1%,-34,-21
80,Qinwen Zheng,8,5,9.3%,6.1%,52.4%,74.4%,45.8%,17.2%,18.9%,9.2%,4.4%,105.3,107.0,103.1,83.8,85.9,85.4,9.4%,59.9%,8.2%,58.0%,43.3%,44.3%,46.4%,40.5%,54.3%,54.7%,28.0%,49.0%,17.7%,23.9%,38.9%,53,71.3%,55.3%,2.39,24.0%,14.0%,3.8,50.9%,51.5%,51.0%,51.7%,55.5%,7.4%,7.6,3.1,0.5%,70.8%,6.5%,70.3%,15.3%,21.8%,14.4%,9.6%,25.6%,1.2%,45.6%,27,47
81,Paula Badosa,9,2,5.6%,6.6%,60.7%,67.7%,46.2%,14.3%,15.8%,6.9%,4.0%,102.2,106.6,96.1,88.8,89.9,88.9,4.3%,59.1%,3.7%,56.4%,43.9%,45.5%,48.3%,29.7%,40.9%,51.0%,44.4%,57.1%,18.3%,26.0%,43.7%,54,74.6%,50.2%,2.44,13.7%,10.1%,4.1,51.7%,49.3%,47.0%,47.2%,51.2%,7.0%,7.3,3.7,0.0%,-,5.6%,68.5%,13.7%,21.0%,18.0%,9.7%,27.8%,0.4%,36.0%,-41,-11
142,Elena Rybakina,10,3,8.5%,4.2%,58.2%,71.5%,49.1%,18.1%,18.4%,8.5%,5.2%,109.3,112.3,106.0,89.7,93.2,88.5,7.7%,61.1%,6.5%,60.7%,44.2%,44.4%,48.6%,38.7%,53.5%,52.6%,13.4%,58.1%,17.8%,26.8%,44.0%,19,70.5%,53.0%,2.43,22.8%,10.8%,3.5,53.2%,50.7%,49.1%,52.1%,52.5%,6.6%,7.3,5.1,0.1%,66.7%,7.9%,67.1%,17.6%,29.1%,11.3%,12.7%,31.8%,0.7%,43.2%,60,68
45,Emma Navarro,11,8,1.9%,3.5%,63.9%,62.0%,47.5%,13.5%,16.8%,8.0%,5.4%,96.2,98.4,93.6,78.4,78.6,79.6,1.6%,55.9%,1.8%,55.9%,46.0%,44.8%,48.4%,22.2%,31.8%,51.5%,23.1%,45.4%,14.5%,20.3%,42.6%,4,73.4%,53.1%,2.49,8.5%,10.5%,4.5,49.4%,53.7%,48.6%,50.5%,53.1%,15.7%,6.5,4.6,0.0%,-,6.9%,67.2%,11.6%,17.8%,16.8%,10.1%,29.7%,1.2%,37.0%,-30,-30
91,Karolina Muchova,12,8,5.2%,3.2%,62.8%,66.5%,49.6%,16.7%,18.4%,8.8%,4.5%,100.5,103.8,97.2,82.9,86.4,83.7,3.5%,59.5%,3.3%,58.2%,44.9%,44.5%,49.2%,27.7%,40.7%,51.7%,34.9%,44.7%,16.0%,21.4%,45.4%,-7,73.5%,50.9%,2.41,14.0%,7.5%,4.0,50.6%,51.3%,51.7%,48.0%,49.9%,29.6%,4.6,1.0,5.7%,69.2%,14.6%,68.0%,14.6%,23.4%,15.2%,9.3%,24.4%,2.5%,36.5%,24,23
28,Diana Shnaider,13,12,2.9%,3.9%,63.2%,63.8%,49.5%,15.6%,17.3%,10.3%,4.6%,94.4,96.0,94.6,80.4,79.6,82.0,3.1%,57.3%,3.0%,60.9%,42.6%,45.3%,48.7%,25.2%,37.7%,51.1%,15.4%,50.1%,17.0%,25.9%,44.6%,14,70.9%,52.4%,2.57,10.5%,9.9%,3.8,50.8%,49.4%,55.1%,52.8%,49.4%,12.5%,12.0,2.9,0.1%,0.0%,6.3%,71.9%,20.6%,27.4%,16.3%,9.3%,17.7%,1.0%,35.5%,31,24
119,Daria Kasatkina,14,8,2.1%,5.7%,67.9%,60.4%,42.8%,11.4%,17.5%,7.2%,3.4%,89.6,93.1,88.0,75.3,77.9,76.5,2.0%,55.2%,1.9%,54.1%,46.7%,47.5%,45.7%,19.6%,26.5%,47.8%,34.7%,51.2%,17.6%,20.9%,40.0%,45,80.4%,51.2%,2.51,5.9%,9.3%,4.9,49.8%,47.5%,50.0%,49.3%,53.1%,17.0%,4.6,2.2,0.0%,50.0%,5.1%,69.4%,10.3%,14.7%,12.0%,6.7%,20.8%,0.6%,31.4%,-76,-60
67,Barbora Krejcikova,15,2,4.8%,5.8%,61.0%,67.6%,46.5%,15.5%,19.0%,7.8%,3.7%,100.1,102.6,96.6,87.3,89.8,87.2,3.8%,59.8%,2.9%,57.4%,45.3%,46.7%,48.8%,30.9%,43.8%,51.4%,19.6%,45.8%,18.9%,26.5%,44.3%,66,68.8%,53.4%,2.52,14.4%,7.9%,3.6,49.5%,51.8%,49.4%,52.5%,50.1%,16.0%,7.5,3.3,0.7%,65.6%,7.0%,70.4%,17.6%,25.1%,12.6%,11.4%,33.8%,1.2%,44.6%,48,52
67,Amanda Anisimova,16,16,3.1%,5.2%,65.0%,63.2%,47.5%,16.5%,20.7%,8.1%,6.0%,97.2,101.1,96.9,86.1,91.8,89.1,2.3%,56.5%,1.9%,57.7%,45.7%,46.1%,47.2%,24.7%,39.0%,49.6%,36.8%,45.6%,20.0%,29.5%,42.4%,72,66.0%,56.8%,2.44,12.7%,9.4%,3.4,49.1%,51.9%,51.8%,51.3%,51.7%,7.3%,8.6,8.0,0.1%,50.0%,5.7%,65.9%,18.6%,28.4%,23.1%,16.6%,32.6%,1.3%,28.1%,123,96
44,Beatriz Haddad Maia,17,10,3.1%,4.9%,66.8%,64.4%,46.6%,13.6%,19.3%,8.9%,4.0%,99.8,102.6,93.8,82.2,82.5,81.2,2.0%,57.3%,2.4%,58.6%,43.3%,44.5%,47.8%,22.9%,33.7%,49.7%,22.5%,60.2%,17.0%,21.7%,43.5%,51,71.9%,51.9%,2.37,12.2%,6.1%,4.5,50.4%,48.8%,48.2%,45.4%,57.6%,8.2%,4.3,-0.9,1.5%,60.8%,9.3%,64.2%,10.2%,17.2%,6.1%,6.0%,17.3%,0.9%,45.6%,-22,-16
219,Elina Svitolina,18,3,4.2%,3.9%,61.3%,65.4%,46.4%,13.8%,16.6%,7.1%,4.2%,98.1,101.4,95.9,77.0,80.0,77.7,4.1%,58.2%,3.2%,57.6%,44.9%,45.9%,48.3%,27.4%,39.0%,52.7%,12.0%,30.7%,14.9%,18.5%,41.8%,14,77.3%,51.4%,2.43,15.7%,10.9%,4.6,52.4%,51.2%,48.1%,48.5%,51.7%,8.7%,4.2,2.9,0.5%,70.0%,7.7%,65.3%,10.2%,20.6%,15.7%,7.7%,25.6%,0.6%,31.4%,-57,-42
54,Liudmila Samsonova,19,12,7.5%,6.2%,55.0%,70.2%,47.6%,17.7%,21.0%,10.5%,3.6%,105.7,111.1,102.4,90.3,92.3,86.3,7.2%,60.2%,4.0%,58.5%,41.1%,42.6%,48.2%,38.9%,56.0%,52.0%,12.5%,45.7%,21.8%,33.7%,44.1%,56,66.6%,53.9%,2.44,24.7%,11.4%,3.2,50.1%,53.6%,47.1%,54.7%,57.5%,5.8%,8.8,2.9,0.6%,71.4%,6.0%,68.2%,22.2%,32.7%,24.3%,12.2%,26.4%,1.0%,49.5%,136,127
79,Donna Vekic,20,17,5.2%,6.7%,55.9%,67.8%,45.1%,16.3%,18.8%,8.3%,4.5%,105.5,108.0,103.8,87.1,89.9,87.7,5.2%,59.3%,3.9%,56.3%,42.8%,43.6%,46.5%,34.2%,48.0%,51.5%,45.9%,25.4%,19.1%,27.1%,40.3%,67,69.5%,50.9%,2.44,19.7%,11.4%,3.6,49.7%,48.9%,46.1%,49.2%,54.6%,8.6%,6.5,0.2,0.0%,-,6.2%,65.9%,16.9%,27.4%,22.3%,8.3%,20.9%,2.6%,36.9%,28,45
40,Clara Tauson,21,21,6.4%,4.9%,58.9%,67.4%,46.3%,17.2%,18.7%,8.7%,5.2%,98.8,102.0,94.9,84.5,86.6,81.4,5.2%,59.5%,3.4%,57.3%,43.4%,46.3%,47.9%,31.1%,44.5%,51.4%,15.5%,51.5%,15.0%,21.6%,43.3%,24,73.5%,53.3%,2.40,16.7%,13.0%,3.8,51.8%,50.4%,50.2%,51.5%,50.2%,19.3%,8.7,3.6,0.1%,33.3%,7.8%,64.6%,17.6%,23.8%,21.9%,10.5%,26.1%,2.2%,41.0%,31,35
75,Ekaterina Alexandrova,22,15,7.1%,7.6%,57.8%,69.2%,44.1%,17.1%,20.8%,8.4%,5.2%,104.3,106.3,102.7,87.4,91.8,87.4,6.3%,57.2%,5.9%,57.4%,44.7%,45.1%,47.1%,34.4%,48.2%,51.0%,25.5%,36.5%,17.3%,24.7%,41.8%,45,67.4%,56.2%,2.46,18.1%,11.5%,3.6,49.3%,50.8%,51.4%,53.4%,48.4%,5.0%,8.6,4.8,0.0%,100.0%,4.5%,71.0%,17.7%,24.9%,21.1%,11.7%,23.4%,0.6%,38.1%,62,74
73,Yulia Putintseva,23,20,1.9%,3.3%,68.5%,60.5%,46.8%,12.0%,17.0%,5.5%,4.7%,88.8,92.0,87.8,76.9,78.9,78.2,1.7%,55.6%,1.5%,54.2%,44.2%,44.5%,45.7%,19.8%,29.2%,47.8%,28.5%,53.1%,15.6%,19.2%,41.1%,19,75.1%,50.7%,2.54,9.0%,9.7%,4.9,48.5%,48.4%,47.9%,46.5%,47.9%,24.2%,1.9,2.6,0.1%,71.4%,5.0%,67.2%,8.5%,7.7%,1.4%,7.3%,22.9%,4.0%,32.5%,-69,-62
100,Jelena Ostapenko,24,5,4.4%,8.1%,56.1%,65.2%,43.5%,20.1%,23.0%,11.1%,7.7%,97.4,100.6,93.1,76.8,78.9,82.8,5.0%,55.2%,2.7%,54.2%,46.1%,47.6%,46.2%,27.3%,42.8%,50.4%,41.0%,54.2%,20.2%,29.0%,40.3%,75,65.3%,60.8%,2.50,13.9%,18.8%,3.2,45.8%,57.3%,56.9%,58.9%,50.1%,5.9%,12.4,7.3,0.0%,100.0%,5.4%,77.8%,23.1%,34.6%,16.1%,16.9%,32.9%,1.0%,33.9%,182,143
64,Marta Kostyuk,25,16,4.1%,7.7%,59.7%,64.3%,43.6%,15.4%,19.8%,8.5%,5.1%,100.0,104.1,96.7,82.9,85.0,83.6,3.8%,56.5%,3.2%,55.0%,46.4%,44.2%,48.9%,27.5%,38.8%,52.1%,47.2%,18.3%,18.1%,22.8%,43.6%,50,73.9%,52.5%,2.46,10.2%,9.1%,4.0,50.3%,50.0%,48.9%,53.8%,53.6%,10.8%,4.9,2.3,0.3%,61.5%,9.6%,70.5%,12.4%,21.6%,17.8%,8.8%,25.9%,1.4%,29.1%,-4,17
57,Leylah Fernandez,26,13,3.2%,6.1%,63.5%,64.7%,47.4%,15.8%,15.7%,8.1%,5.8%,94.9,98.0,91.6,86.0,86.6,86.5,1.9%,54.9%,3.3%,58.5%,42.3%,43.5%,50.8%,23.9%,36.9%,53.1%,16.8%,33.6%,15.7%,22.4%,46.3%,34,74.0%,51.3%,2.44,13.9%,6.3%,4.1,49.2%,51.1%,52.2%,48.8%,53.6%,16.1%,8.1,4.4,0.3%,45.5%,9.8%,66.8%,14.6%,21.1%,12.4%,11.3%,21.2%,1.6%,43.7%,3,5
93,Ons Jabeur,27,2,5.2%,3.9%,54.8%,67.6%,47.6%,17.9%,20.5%,9.1%,5.0%,98.2,102.3,92.6,78.1,80.6,79.4,5.0%,58.1%,4.2%,56.5%,44.5%,44.2%,45.3%,33.5%,45.3%,50.0%,21.9%,47.7%,15.5%,21.5%,40.4%,-7,74.2%,51.6%,2.50,18.8%,14.6%,3.7,49.3%,50.3%,52.1%,51.0%,51.1%,30.9%,5.9,2.5,0.1%,66.7%,7.1%,70.6%,17.3%,23.8%,17.0%,10.8%,19.9%,5.2%,29.2%,74,65
25,Magdalena Frech,28,22,3.2%,3.0%,62.3%,61.8%,44.7%,11.4%,15.5%,5.5%,4.6%,98.0,100.5,94.5,76.7,78.1,80.6,2.1%,55.8%,1.7%,53.6%,45.7%,46.3%,44.0%,23.4%,33.2%,46.6%,29.0%,34.5%,17.7%,21.0%,39.5%,-18,75.5%,47.4%,2.45,10.9%,10.6%,4.9,51.3%,45.9%,43.0%,42.7%,49.9%,22.0%,2.4,2.0,0.0%,-,5.5%,61.8%,8.4%,11.9%,8.8%,7.1%,17.8%,1.7%,29.4%,-83,-71
96,Elise Mertens,29,12,5.0%,6.9%,59.2%,66.4%,45.2%,14.2%,17.3%,6.0%,5.1%,100.3,105.0,97.5,82.6,88.7,82.3,3.6%,57.9%,3.8%,56.5%,46.1%,47.9%,47.5%,27.6%,36.5%,50.9%,26.8%,43.2%,16.1%,20.9%,42.2%,37,75.4%,51.5%,2.48,12.7%,8.2%,4.3,50.8%,48.4%,50.4%,49.1%,48.6%,12.5%,3.7,5.2,0.0%,100.0%,7.7%,69.6%,10.3%,15.8%,9.2%,10.8%,27.6%,1.0%,29.5%,-38,-16
62,Magda Linette,30,19,4.1%,3.7%,63.4%,63.6%,46.9%,14.4%,17.8%,7.2%,4.9%,95.7,100.7,93.9,80.3,83.9,82.2,3.4%,57.3%,2.5%,56.3%,42.2%,43.5%,45.9%,26.7%,37.9%,49.7%,20.3%,47.9%,16.9%,22.0%,40.1%,-17,72.4%,48.8%,2.47,12.8%,12.7%,4.2,49.7%,48.0%,48.1%,46.4%,49.3%,7.0%,3.3,1.4,0.1%,100.0%,7.3%,73.6%,12.3%,20.7%,9.1%,8.9%,25.0%,0.8%,33.3%,-9,-7
34,Anna Kalinskaya,31,11,2.2%,5.4%,64.4%,62.4%,46.9%,13.0%,17.3%,7.2%,5.3%,97.3,99.0,95.8,87.2,88.8,86.4,2.3%,57.1%,1.3%,56.4%,44.3%,45.7%,47.7%,23.7%,35.3%,49.5%,15.2%,64.0%,18.8%,26.3%,43.5%,45,72.5%,51.2%,2.48,10.2%,8.0%,4.0,48.4%,50.9%,50.3%,50.1%,51.5%,7.7%,8.1,3.7,0.1%,100.0%,6.1%,67.0%,15.5%,23.9%,31.6%,11.5%,35.8%,1.1%,34.8%,-3,2
74,Danielle Collins,32,7,4.9%,6.0%,57.0%,67.2%,47.3%,18.3%,19.4%,7.8%,6.8%,99.3,103.9,97.2,86.2,89.8,87.0,4.1%,57.1%,3.2%,56.5%,44.8%,45.4%,48.6%,29.4%,44.3%,52.6%,38.1%,41.1%,20.1%,27.7%,43.2%,62,66.4%,57.1%,2.51,15.1%,13.1%,3.4,49.9%,52.1%,51.3%,51.7%,50.1%,5.9%,9.7,7.3,0.0%,-,6.8%,69.6%,18.4%,23.8%,20.2%,16.2%,29.7%,1.2%,30.9%,89,83
39,Linda Noskova,33,25,6.0%,5.9%,60.6%,68.7%,47.1%,17.5%,18.7%,9.2%,6.9%,100.0,102.7,97.0,86.7,87.2,88.8,6.0%,61.0%,4.3%,56.9%,37.5%,40.1%,47.7%,32.1%,49.0%,53.1%,33.7%,48.5%,21.7%,30.4%,39.2%,73,67.8%,51.0%,2.40,15.6%,11.2%,3.4,49.5%,47.3%,51.5%,47.0%,50.1%,11.4%,6.9,5.2,0.2%,100.0%,6.5%,71.4%,17.5%,29.2%,19.4%,14.4%,31.2%,3.3%,35.6%,65,72
106,Sofia Kenin,34,4,2.4%,4.8%,67.2%,64.0%,47.0%,15.0%,19.2%,6.2%,6.1%,93.8,95.6,91.6,85.3,87.4,85.0,2.0%,57.7%,1.8%,57.4%,42.6%,44.5%,50.0%,23.2%,35.2%,52.1%,6.0%,59.3%,17.4%,24.8%,45.2%,50,66.1%,54.0%,2.49,14.5%,7.1%,3.8,47.7%,51.9%,54.4%,51.4%,49.7%,13.7%,7.0,6.2,0.0%,-,5.6%,69.8%,14.6%,27.0%,15.5%,13.5%,33.1%,2.6%,39.9%,48,36
21,Ashlyn Krueger,35,34,4.7%,6.5%,63.6%,64.2%,44.6%,16.2%,21.3%,7.6%,6.4%,104.2,104.9,102.7,93.3,94.0,91.8,4.8%,54.6%,5.7%,57.2%,38.3%,44.2%,46.6%,30.5%,42.5%,48.6%,35.1%,18.8%,20.9%,29.6%,42.5%,77,71.6%,48.6%,2.43,13.2%,7.0%,3.7,50.8%,44.8%,47.5%,46.0%,50.1%,8.9%,1.9,4.1,0.2%,100.0%,7.0%,68.0%,12.9%,23.1%,21.4%,13.1%,27.1%,0.7%,25.8%,40,55
27,Elina Avanesyan,36,36,1.1%,3.7%,69.2%,57.9%,43.4%,11.0%,19.0%,6.4%,4.7%,86.6,89.5,87.2,73.5,77.7,72.7,1.7%,51.1%,0.6%,52.5%,46.2%,45.4%,45.7%,16.9%,25.0%,49.1%,21.2%,47.4%,15.1%,18.1%,36.3%,32,81.0%,49.2%,2.56,4.7%,12.2%,5.3,48.8%,48.9%,51.9%,47.3%,50.0%,4.8%,4.0,2.1,0.0%,-,6.1%,65.0%,9.7%,18.1%,7.0%,7.8%,18.4%,0.7%,19.0%,-62,-60
13,Rebecca Sramkova,37,36,3.8%,3.9%,59.8%,61.8%,47.4%,16.5%,19.2%,9.8%,5.4%,98.2,102.0,89.3,77.1,77.8,74.5,3.7%,58.0%,3.5%,55.6%,44.3%,45.1%,47.0%,23.4%,34.6%,51.8%,8.8%,59.8%,16.1%,23.0%,39.7%,4,72.5%,52.0%,2.49,16.5%,10.5%,4.3,48.9%,48.4%,52.8%,49.5%,52.6%,8.8%,8.0,2.3,0.2%,50.0%,6.0%,69.0%,15.5%,25.1%,25.0%,8.9%,18.6%,1.7%,34.5%,18,11
44,Anastasia Potapova,38,21,3.0%,6.4%,56.2%,64.1%,44.5%,13.8%,20.5%,7.2%,5.1%,97.2,100.7,95.8,81.1,82.5,80.4,2.6%,55.9%,2.2%,54.8%,44.6%,44.1%,46.0%,23.3%,33.4%,50.0%,24.8%,56.8%,16.6%,21.0%,39.7%,42,72.1%,52.7%,2.50,9.6%,13.3%,4.2,46.8%,48.1%,51.5%,53.4%,50.6%,4.8%,5.4,4.3,0.0%,-,5.5%,66.8%,13.1%,19.1%,13.2%,10.5%,28.6%,0.6%,34.3%,2,10
24,Olga Danilovic,39,35,4.0%,5.6%,60.6%,62.7%,46.2%,15.5%,19.4%,8.9%,4.8%,97.5,100.7,92.2,77.3,66.5,79.5,4.0%,56.9%,4.2%,59.5%,44.9%,47.1%,46.1%,26.6%,36.4%,49.2%,42.8%,54.8%,19.5%,24.7%,40.6%,44,71.7%,53.0%,2.45,12.3%,9.2%,4.0,51.3%,49.5%,46.3%,51.2%,55.4%,12.8%,6.0,2.6,0.2%,100.0%,8.9%,65.5%,13.8%,21.5%,8.0%,9.5%,18.6%,1.1%,23.8%,29,32
28,Katie Boulter,40,23,4.8%,6.2%,57.1%,68.6%,45.7%,17.0%,19.5%,10.4%,4.8%,103.3,105.6,101.7,88.9,89.7,87.6,5.0%,58.5%,4.0%,56.9%,44.1%,42.8%,47.0%,31.4%,45.5%,51.4%,49.8%,14.1%,19.5%,26.5%,41.1%,72,66.1%,54.9%,2.42,19.8%,11.2%,3.5,48.1%,51.6%,51.4%,52.4%,57.7%,10.9%,11.2,1.8,0.1%,50.0%,7.5%,74.1%,18.7%,24.2%,31.5%,10.8%,21.8%,1.1%,28.8%,65,64
22,Xin Yu Wang,41,32,3.5%,5.0%,58.9%,63.6%,46.9%,16.5%,20.8%,10.9%,5.0%,98.7,102.8,96.3,80.4,82.7,79.0,3.3%,54.5%,2.6%,52.6%,43.4%,43.4%,44.8%,24.0%,35.8%,48.2%,27.3%,41.7%,16.0%,21.3%,40.2%,41,67.2%,53.2%,2.47,14.4%,11.4%,3.8,46.4%,47.1%,46.7%,57.3%,56.9%,10.3%,6.4,2.2,0.0%,-,7.5%,60.2%,14.9%,25.1%,4.9%,8.9%,25.5%,1.4%,25.8%,28,22
114,Belinda Bencic,42,4,4.1%,6.0%,62.0%,67.4%,46.0%,14.9%,16.3%,6.5%,6.8%,96.6,100.8,96.4,81.5,85.0,84.1,3.5%,59.3%,3.7%,56.9%,44.4%,44.2%,49.2%,28.5%,39.7%,52.9%,50.6%,27.9%,16.7%,22.2%,43.0%,43,68.8%,54.4%,2.50,12.2%,11.4%,3.9,49.2%,51.2%,52.6%,53.8%,51.2%,3.0%,5.9,6.4,0.0%,100.0%,7.4%,72.1%,11.4%,19.0%,8.0%,12.0%,26.6%,0.6%,29.0%,-11,3
13,Mccartney Kessler,43,42,2.9%,3.6%,60.9%,63.0%,47.2%,10.9%,19.4%,6.6%,3.8%,97.9,101.2,96.4,81.0,85.0,81.6,1.4%,53.7%,1.3%,54.2%,41.0%,45.3%,45.2%,24.1%,30.3%,47.1%,38.8%,31.3%,17.8%,21.5%,42.2%,17,75.8%,51.7%,2.64,9.0%,8.6%,4.4,46.5%,49.1%,48.4%,55.8%,51.2%,4.5%,5.3,0.2,0.0%,-,6.6%,64.9%,10.9%,19.2%,18.9%,7.1%,20.9%,0.6%,44.4%,-30,-22
20,Peyton Stearns,44,43,2.6%,4.1%,66.0%,60.0%,46.7%,16.3%,20.6%,12.6%,3.5%,94.8,103.0,90.2,78.4,80.4,79.9,2.6%,56.2%,2.4%,54.6%,43.3%,45.9%,45.5%,18.7%,29.4%,45.8%,38.0%,58.3%,16.6%,27.0%,44.9%,27,67.5%,55.1%,2.52,22.8%,9.8%,3.8,47.4%,47.8%,54.2%,48.4%,58.7%,10.8%,10.2,-1.2,0.0%,-,6.5%,71.5%,17.9%,22.6%,13.8%,8.4%,20.4%,1.5%,25.7%,60,36
11,Lulu Sun,45,39,6.4%,4.9%,57.8%,68.2%,47.8%,19.3%,17.2%,12.2%,4.5%,102.2,106.9,95.3,86.6,87.4,83.9,3.3%,58.0%,4.4%,62.1%,45.9%,46.8%,49.8%,35.8%,50.8%,54.4%,13.3%,56.8%,22.4%,34.1%,44.0%,29,65.8%,52.0%,2.47,21.1%,10.9%,3.4,49.4%,53.8%,47.1%,50.0%,52.4%,15.6%,14.5,-1.7,1.7%,83.3%,8.2%,77.0%,21.1%,32.9%,12.5%,10.7%,21.5%,1.2%,29.6%,66,64
